MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
03/17/2021 Raptors at Pistons            ,0022000616 ,2020-21 ,2021-03-17 ,Pistons            ,  1610612765 ,Raptors            ,  1610612761
03/13/2021 Raptors at Hornets            ,0022000588 ,2020-21 ,2021-03-13 ,Hornets            ,  1610612766 ,Raptors            ,  1610612761
03/03/2021 Pistons at Raptors            ,0022000539 ,2020-21 ,2021-03-03 ,Raptors            ,  1610612761 ,Pistons            ,  1610612765
02/10/2021 Raptors at Wizards            ,0022000382 ,2020-21 ,2021-02-10 ,Wizards            ,  1610612764 ,Raptors            ,  1610612761
02/08/2021 Raptors at Grizzlies          ,0022000369 ,2020-21 ,2021-02-08 ,Grizzlies          ,  1610612763 ,Raptors            ,  1610612761
01/16/2021 Hornets at Raptors            ,0022000191 ,2020-21 ,2021-01-16 ,Raptors            ,  1610612761 ,Hornets            ,  1610612766
01/14/2021 Hornets at Raptors            ,0022000175 ,2020-21 ,2021-01-14 ,Raptors            ,  1610612761 ,Hornets            ,  1610612766
04/12/2021 Wizards at Jazz               ,0022000820 ,2020-21 ,2021-04-12 ,Jazz               ,  1610612762 ,Wizards            ,  1610612764
03/31/2021 Jazz at Grizzlies             ,0022000725 ,2020-21 ,2021-03-31 ,Grizzlies          ,  1610612763 ,Jazz               ,  1610612762
03/27/2021 Grizzlies at Jazz             ,0022000700 ,2020-21 ,2021-03-27 ,Jazz               ,  1610612762 ,Grizzlies          ,  1610612763
03/26/2021 Grizzlies at Jazz             ,0022000691 ,2020-21 ,2021-03-26 ,Jazz               ,  1610612762 ,Grizzlies          ,  1610612763
03/18/2021 Jazz at Wizards               ,0022000166 ,2020-21 ,2021-03-18 ,Wizards            ,  1610612764 ,Jazz               ,  1610612762
02/22/2021 Hornets at Jazz               ,0022000478 ,2020-21 ,2021-02-22 ,Jazz               ,  1610612762 ,Hornets            ,  1610612766
02/05/2021 Jazz at Hornets               ,0022000342 ,2020-21 ,2021-02-05 ,Hornets            ,  1610612766 ,Jazz               ,  1610612762
02/02/2021 Pistons at Jazz               ,0022000325 ,2020-21 ,2021-02-02 ,Jazz               ,  1610612762 ,Pistons            ,  1610612765
01/10/2021 Jazz at Pistons               ,0022000141 ,2020-21 ,2021-01-10 ,Pistons            ,  1610612765 ,Jazz               ,  1610612762
05/06/2021 Grizzlies at Pistons          ,0022000999 ,2020-21 ,2021-05-06 ,Pistons            ,  1610612765 ,Grizzlies          ,  1610612763
03/10/2021 Wizards at Grizzlies          ,0022000566 ,2020-21 ,2021-03-10 ,Grizzlies          ,  1610612763 ,Wizards            ,  1610612764
03/02/2021 Grizzlies at Wizards          ,0022000536 ,2020-21 ,2021-03-02 ,Wizards            ,  1610612764 ,Grizzlies          ,  1610612763
02/19/2021 Pistons at Grizzlies          ,0022000452 ,2020-21 ,2021-02-19 ,Grizzlies          ,  1610612763 ,Pistons            ,  1610612765
02/10/2021 Hornets at Grizzlies          ,0022000386 ,2020-21 ,2021-02-10 ,Grizzlies          ,  1610612763 ,Hornets            ,  1610612766
01/01/2021 Grizzlies at Hornets          ,0022000069 ,2020-21 ,2021-01-01 ,Hornets            ,  1610612766 ,Grizzlies          ,  1610612763
05/16/2021 Hornets at Wizards            ,0022001080 ,2020-21 ,2021-05-16 ,Wizards            ,  1610612764 ,Hornets            ,  1610612766
04/17/2021 Pistons at Wizards            ,0022000856 ,2020-21 ,2021-04-17 ,Wizards            ,  1610612764 ,Pistons            ,  1610612765
04/01/2021 Wizards at Pistons            ,0022000179 ,2020-21 ,2021-04-01 ,Pistons            ,  1610612765 ,Wizards            ,  1610612764
03/30/2021 Hornets at Wizards            ,0022000718 ,2020-21 ,2021-03-30 ,Wizards            ,  1610612764 ,Hornets            ,  1610612766
03/27/2021 Pistons at Wizards            ,0022000694 ,2020-21 ,2021-03-27 ,Wizards            ,  1610612764 ,Pistons            ,  1610612765
02/07/2021 Wizards at Hornets            ,0022000215 ,2020-21 ,2021-02-07 ,Hornets            ,  1610612766 ,Wizards            ,  1610612764
05/04/2021 Hornets at Pistons            ,0022000984 ,2020-21 ,2021-05-04 ,Pistons            ,  1610612765 ,Hornets            ,  1610612766
05/01/2021 Pistons at Hornets            ,0022000957 ,2020-21 ,2021-05-01 ,Hornets            ,  1610612766 ,Pistons            ,  1610612765
03/11/2021 Pistons at Hornets            ,0022000568 ,2020-21 ,2021-03-11 ,Hornets            ,  1610612766 ,Pistons            ,  1610612765
